Open,Close,High,Low,Time,Volume
1.26548,1.26686,1.26818,1.25833,2014.10.07 00:00:00,151276
1.26685,1.27334,1.27486,1.26225,2014.10.08 00:00:00,154587
1.27335,1.26906,1.27912,1.26639,2014.10.09 00:00:00,165515
1.26907,1.26277,1.27156,1.26053,2014.10.10 00:00:00,126440
1.26277,1.27509,1.27609,1.26205,2014.10.13 00:00:00,117380
1.27527,1.26578,1.27681,1.26397,2014.10.14 00:00:00,135639
1.26574,1.28372,1.28865,1.26244,2014.10.15 00:00:00,206820
1.28358,1.2809,1.28447,1.27056,2014.10.16 00:00:00,202300
1.28089,1.27588,1.28366,1.27438,2014.10.17 00:00:00,124358
1.27487,1.28,1.28166,1.27311,2014.10.20 00:00:00,102213
1.28001,1.27153,1.284,1.27143,2014.10.21 00:00:00,119464
1.27153,1.26481,1.27396,1.2637,2014.10.22 00:00:00,109811
1.26487,1.26461,1.26765,1.26136,2014.10.23 00:00:00,105482
1.26462,1.26698,1.26954,1.26347,2014.10.24 00:00:00,96962
1.26739,1.26976,1.27232,1.26655,2014.10.27 00:00:00,91690
1.26981,1.27329,1.27646,1.26845,2014.10.28 00:00:00,97603
1.27329,1.26366,1.27703,1.26263,2014.10.29 00:00:00,100748
1.26367,1.26125,1.26393,1.25472,2014.10.30 00:00:00,131269
1.26119,1.25293,1.26164,1.24846,2014.10.31 00:00:00,95711
1.25049,1.24819,1.25139,1.24453,2014.11.03 00:00:00,140655
1.24819,1.25462,1.25772,1.24809,2014.11.04 00:00:00,126651
1.25445,1.24852,1.25669,1.24572,2014.11.05 00:00:00,152649
1.24854,1.23743,1.25331,1.23648,2014.11.06 00:00:00,179163
1.23731,1.2454,1.24693,1.23578,2014.11.07 00:00:00,170124
1.24708,1.24203,1.2509,1.24185,2014.11.10 00:00:00,121647
1.24203,1.24746,1.2499,1.23943,2014.11.11 00:00:00,131175
1.24747,1.24379,1.24977,1.24189,2014.11.12 00:00:00,163216
1.24378,1.24761,1.24914,1.24261,2014.11.13 00:00:00,122308
1.24761,1.25225,1.2546,1.23982,2014.11.14 00:00:00,151331
1.2527,1.24491,1.25771,1.24449,2014.11.17 00:00:00,120480
1.2449,1.25357,1.25449,1.24432,2014.11.18 00:00:00,248592
1.25335,1.25532,1.26002,1.25114,2014.11.19 00:00:00,313874
1.25525,1.25382,1.25751,1.25035,2014.11.20 00:00:00,344265
1.2538,1.23902,1.25681,1.23742,2014.11.21 00:00:00,353379
1.23619,1.24419,1.24444,1.23619,2014.11.24 00:00:00,118387
1.24419,1.24739,1.2487,1.2402,2014.11.25 00:00:00,130328
1.24739,1.25051,1.25315,1.24435,2014.11.26 00:00:00,121787
1.25057,1.24664,1.25234,1.24646,2014.11.27 00:00:00,76996
1.24663,1.24493,1.24901,1.24261,2014.11.28 00:00:00,108683
1.24622,1.24682,1.25065,1.24191,2014.12.01 00:00:00,142260
1.24685,1.23815,1.24759,1.23761,2014.12.02 00:00:00,265922
1.23812,1.23101,1.23903,1.23002,2014.12.03 00:00:00,310857
1.23094,1.23778,1.24562,1.22797,2014.12.04 00:00:00,338961
1.23774,1.22805,1.23928,1.22702,2014.12.05 00:00:00,303028
1.22854,1.23169,1.23435,1.22469,2014.12.08 00:00:00,129902
1.2315,1.23733,1.24475,1.22919,2014.12.09 00:00:00,175642
1.23727,1.24478,1.24479,1.23618,2014.12.10 00:00:00,164410
1.24476,1.24099,1.24916,1.23697,2014.12.11 00:00:00,91860
1.24098,1.24591,1.24843,1.23837,2014.12.12 00:00:00,90189
1.24744,1.24356,1.24784,1.24143,2014.12.15 00:00:00,155375
1.24357,1.25101,1.25696,1.24336,2014.12.16 00:00:00,189667
1.25102,1.23414,1.25155,1.23205,2014.12.17 00:00:00,178683
1.23423,1.22853,1.23525,1.22654,2014.12.18 00:00:00,194510
1.22846,1.22254,1.23021,1.222,2014.12.19 00:00:00,144040
1.22236,1.22283,1.22724,1.22164,2014.12.22 00:00:00,80205
1.22279,1.21707,1.22455,1.21643,2014.12.23 00:00:00,91024
1.21706,1.22021,1.22198,1.21689,2014.12.24 00:00:00,65640
1.22065,1.2175,1.22259,1.21682,2014.12.26 00:00:00,40308
1.21736,1.21512,1.2221,1.21427,2014.12.29 00:00:00,83363
1.21509,1.21541,1.21872,1.21236,2014.12.30 00:00:00,102835
1.21538,1.21018,1.21696,1.20971,2014.12.31 00:00:00,70369
1.21019,1.20014,1.21061,1.19994,2015.01.02 00:00:00,125003
1.19719,1.19314,1.19762,1.18551,2015.01.05 00:00:00,172091
1.19308,1.18838,1.19685,1.18788,2015.01.06 00:00:00,163506
1.18828,1.1838,1.18964,1.18018,2015.01.07 00:00:00,201665
1.18388,1.17858,1.18473,1.1754,2015.01.08 00:00:00,143069
1.17869,1.18379,1.18459,1.17626,2015.01.09 00:00:00,162412
1.18403,1.18322,1.18706,1.1786,2015.01.12 00:00:00,133821
1.18316,1.17719,1.18594,1.17527,2015.01.13 00:00:00,159055
1.17718,1.17885,1.18462,1.17271,2015.01.14 00:00:00,226824
1.17883,1.16294,1.17921,1.15676,2015.01.15 00:00:00,483752
1.16295,1.15524,1.16485,1.14595,2015.01.16 00:00:00,339225
1.15512,1.1606,1.16388,1.15449,2015.01.19 00:00:00,146456
1.16036,1.15483,1.16146,1.15402,2015.01.20 00:00:00,147188
1.15484,1.16089,1.16798,1.1541,2015.01.21 00:00:00,220288
1.16077,1.13643,1.16513,1.1316,2015.01.22 00:00:00,340904
1.13576,1.12005,1.13737,1.11141,2015.01.23 00:00:00,341043
1.11723,1.12379,1.12952,1.10971,2015.01.26 00:00:00,234681
1.12385,1.13801,1.14224,1.12235,2015.01.27 00:00:00,264416
1.13806,1.12862,1.13827,1.12759,2015.01.28 00:00:00,238759
1.12868,1.1319,1.13678,1.12616,2015.01.29 00:00:00,201971
1.13182,1.12805,1.13635,1.12782,2015.01.30 00:00:00,232347
1.13097,1.13408,1.1362,1.12921,2015.02.02 00:00:00,170727
1.13402,1.14773,1.15336,1.13123,2015.02.03 00:00:00,227709
1.14712,1.13422,1.14846,1.13154,2015.02.04 00:00:00,211802
1.13409,1.14764,1.14987,1.13036,2015.02.05 00:00:00,238632
1.1475,1.13092,1.14851,1.13092,2015.02.06 00:00:00,199054
1.13005,1.13156,1.13593,1.12701,2015.02.09 00:00:00,148813
1.13197,1.13197,1.13451,1.12728,2015.02.10 00:00:00,182914
1.1318,1.13344,1.13472,1.12797,2015.02.11 00:00:00,146010
1.13339,1.1402,1.14228,1.13017,2015.02.12 00:00:00,212137
1.1398,1.1385,1.14429,1.13793,2015.02.13 00:00:00,146597
1.13884,1.1353,1.14289,1.13192,2015.02.16 00:00:00,110408
1.13524,1.14103,1.14488,1.13215,2015.02.17 00:00:00,162872
1.14107,1.13952,1.14155,1.13336,2015.02.18 00:00:00,152760
1.13931,1.13672,1.14501,1.13549,2015.02.19 00:00:00,145654
1.13675,1.13738,1.14297,1.12785,2015.02.20 00:00:00,264859
1.13795,1.13335,1.13954,1.12948,2015.02.23 00:00:00,129231
1.13332,1.13391,1.1358,1.12879,2015.02.24 00:00:00,160580
1.13388,1.13606,1.13887,1.13355,2015.02.25 00:00:00,121270
1.13588,1.11971,1.13795,1.11834,2015.02.26 00:00:00,168476
1.11973,1.11905,1.12449,1.11757,2015.02.27 00:00:00,181767
1.1185,1.11821,1.12404,1.11598,2015.03.02 00:00:00,110837
1.11789,1.11751,1.12173,1.11544,2015.03.03 00:00:00,118349
1.11738,1.10761,1.11854,1.10612,2015.03.04 00:00:00,164672
1.10764,1.10289,1.11145,1.09874,2015.03.05 00:00:00,216330
1.1027,1.08374,1.10326,1.08374,2015.03.06 00:00:00,226070
1.0831,1.08522,1.09064,1.08221,2015.03.09 00:00:00,125113
1.0852,1.06795,1.08547,1.06673,2015.03.10 00:00:00,248501
1.06795,1.05455,1.07165,1.0511,2015.03.11 00:00:00,280259
1.05458,1.06242,1.06838,1.04937,2015.03.12 00:00:00,296668
1.06243,1.04939,1.06346,1.04621,2015.03.13 00:00:00,252123
1.04895,1.05669,1.06193,1.04792,2015.03.16 00:00:00,199984
1.05668,1.05964,1.06506,1.05512,2015.03.17 00:00:00,188894
1.05967,1.08309,1.10403,1.05798,2015.03.18 00:00:00,359703
1.08311,1.0657,1.09191,1.06127,2015.03.19 00:00:00,443155
1.06572,1.08198,1.08823,1.06552,2015.03.20 00:00:00,269651
1.08427,1.09446,1.09711,1.07671,2015.03.23 00:00:00,341580
1.09447,1.09193,1.10293,1.08901,2015.03.24 00:00:00,328685
1.09194,1.09711,1.10143,1.09004,2015.03.25 00:00:00,241142
1.09712,1.08746,1.10522,1.08562,2015.03.26 00:00:00,277364
1.08745,1.08885,1.09486,1.08009,2015.03.27 00:00:00,264538
1.08828,1.08329,1.08946,1.08096,2015.03.30 00:00:00,200237
1.08319,1.07301,1.08453,1.07127,2015.03.31 00:00:00,207037
1.073,1.07619,1.07997,1.07183,2015.04.01 00:00:00,232752
1.07602,1.08791,1.09055,1.075,2015.04.02 00:00:00,210020
1.08793,1.09658,1.10267,1.08635,2015.04.03 00:00:00,149680
1.09776,1.09161,1.10355,1.09092,2015.04.06 00:00:00,112040
1.0917,1.08136,1.09547,1.0803,2015.04.07 00:00:00,206996
1.08142,1.07799,1.08873,1.07628,2015.04.08 00:00:00,246514
1.07801,1.06583,1.07884,1.06375,2015.04.09 00:00:00,205328
1.06572,1.06018,1.06835,1.05676,2015.04.10 00:00:00,196260
1.05914,1.05663,1.06189,1.05199,2015.04.13 00:00:00,208069
1.05642,1.06536,1.07073,1.05311,2015.04.14 00:00:00,247573
1.06534,1.06829,1.07019,1.05701,2015.04.15 00:00:00,293708
1.06791,1.07605,1.08177,1.06246,2015.04.16 00:00:00,313552
1.076,1.08042,1.08484,1.07334,2015.04.17 00:00:00,294258
1.08088,1.07366,1.08196,1.07119,2015.04.20 00:00:00,185747
1.07348,1.07348,1.07809,1.06596,2015.04.21 00:00:00,183907
1.07349,1.07243,1.08008,1.07082,2015.04.22 00:00:00,194455
1.07232,1.0823,1.08457,1.06657,2015.04.23 00:00:00,226564
1.08221,1.08723,1.08999,1.07843,2015.04.24 00:00:00,237859
